brandName,currentSku,displayName,heroImage,image135,image250,image450,productId,rating,reviews,targetUrl,moreColors,heroImageAltText
The Ordinary,"{'biExclusiveLevel': 'none', 'imageAltText': 'The Ordinary - Niacinamide 10% + Zinc 1% Oil Control Serum', 'isAppExclusive': False, 'isBI': False, 'isBest': False, 'isFirstAccess': False, 'isLimitedEdition': False, 'isLimitedTimeOffer': False, 'isNatural': False, 'isNew': False, 'isOnlineOnly': False, 'isOrganic': False, 'isSephoraExclusive': False, 'listPrice': '$6.00 - $10.80', 'salePrice': '', 'skuId': '2031391', 'skuImages': {'image135': 'https://www.sephora.com/productimages/sku/s2031391-main-grid.jpg', 'image162': 'https://www.sephora.com/productimages/sku/s2031391-162.jpg', 'image250': 'https://www.sephora.com/productimages/sku/s2031391-main-hero.jpg', 'image42': 'https://www.sephora.com/productimages/sku/s2031391-main-thumb.jpg', 'image450': 'https://www.sephora.com/productimages/sku/s2031391-main-Lhero.jpg', 'image62': 'https://www.sephora.com/productimages/sku/s2031391-main-Lthumb.jpg', 'image97': 'https://www.sephora.com/productimages/sku/s2031391-main-Sgrid.jpg'}, 'skuType': 'Standard'}",Niacinamide 10% + Zinc 1% Oil Control Serum,https://www.sephora.com/productimages/sku/s2031391-main-grid.jpg,https://www.sephora.com/productimages/sku/s2031391-main-grid.jpg,https://www.sephora.com/productimages/sku/s2031391-main-hero.jpg,https://www.sephora.com/productimages/sku/s2031391-main-Lhero.jpg,P427417,4.2355,5975,/product/the-ordinary-deciem-niacinamide-10-zinc-1-P427417,,
Summer Fridays,"{'badgeAltText': 'Clean at Sephora', 'biExclusiveLevel': 'none', 'imageAltText': 'Summer Fridays - Lip Butter Balm', 'isAppExclusive': False, 'isBI': False, 'isBest': False, 'isFirstAccess': False, 'isLimitedEdition': False, 'isLimitedTimeOffer': False, 'isNatural': False, 'isNew': False, 'isOnlineOnly': False, 'isOrganic': False, 'isSephoraExclusive': False, 'listPrice': '$24.00', 'salePrice': '', 'skuId': '2495497', 'skuImages': {'image135': 'https://www.sephora.com/productimages/sku/s2495497-main-grid.jpg?pb=2020-03-sephora-clean-2019', 'image162': 'https://www.sephora.com/productimages/sku/s2495497-162.jpg?pb=2020-03-sephora-clean-2019', 'image250': 'https://www.sephora.com/productimages/sku/s2495497-main-hero.jpg?pb=2020-03-sephora-clean-2019', 'image42': 'https://www.sephora.com/productimages/sku/s2495497-main-thumb.jpg?pb=2020-03-sephora-clean-2019', 'image450': 'https://www.sephora.com/productimages/sku/s2495497-main-Lhero.jpg?pb=2020-03-sephora-clean-2019', 'image62': 'https://www.sephora.com/productimages/sku/s2495497-main-Lthumb.jpg?pb=2020-03-sephora-clean-2019', 'image97': 'https://www.sephora.com/productimages/sku/s2495497-main-Sgrid.jpg?pb=2020-03-sephora-clean-2019'}, 'skuType': 'Standard'}",Lip Butter Balm,https://www.sephora.com/productimages/sku/s2495497-main-grid.jpg?pb=2020-03-sephora-clean-2019,https://www.sephora.com/productimages/sku/s2495497-main-grid.jpg?pb=2020-03-sephora-clean-2019,https://www.sephora.com/productimages/sku/s2495497-main-hero.jpg?pb=2020-03-sephora-clean-2019,https://www.sephora.com/productimages/sku/s2495497-main-Lhero.jpg?pb=2020-03-sephora-clean-2019,P455936,4.2954,1706,/product/summer-fridays-lip-butter-balm-P455936,5.0,
Drunk Elephant,"{'badgeAltText': 'Clean at Sephora', 'biExclusiveLevel': 'none', 'imageAltText': 'Drunk Elephant - D-Bronzi™ Anti-Pollution Bronzing Drops with Peptides', 'isAppExclusive': False, 'isBI': False, 'isBest': False, 'isFirstAccess': False, 'isLimitedEdition': False, 'isLimitedTimeOffer': False, 'isNatural': False, 'isNew': False, 'isOnlineOnly': False, 'isOrganic': False, 'isSephoraExclusive': False, 'listPrice': '$38.00', 'salePrice': '', 'skuId': '2404721', 'skuImages': {'image135': 'https://www.sephora.com/productimages/sku/s2404721-main-grid.jpg?pb=2020-03-sephora-clean-2019', 'image162': 'https://www.sephora.com/productimages/sku/s2404721-162.jpg?pb=2020-03-sephora-clean-2019', 'image250': 'https://www.sephora.com/productimages/sku/s2404721-main-hero.jpg?pb=2020-03-sephora-clean-2019', 'image42': 'https://www.sephora.com/productimages/sku/s2404721-main-thumb.jpg?pb=2020-03-sephora-clean-2019', 'image450': 'https://www.sephora.com/productimages/sku/s2404721-main-Lhero.jpg?pb=2020-03-sephora-clean-2019', 'image62': 'https://www.sephora.com/productimages/sku/s2404721-main-Lthumb.jpg?pb=2020-03-sephora-clean-2019', 'image97': 'https://www.sephora.com/productimages/sku/s2404721-main-Sgrid.jpg?pb=2020-03-sephora-clean-2019'}, 'skuType': 'Standard'}",D-Bronzi™ Anti-Pollution Bronzing Drops with Peptides,https://www.sephora.com/productimages/sku/s2404721-main-grid.jpg?pb=2020-03-sephora-clean-2019,https://www.sephora.com/productimages/sku/s2404721-main-grid.jpg?pb=2020-03-sephora-clean-2019,https://www.sephora.com/productimages/sku/s2404721-main-hero.jpg?pb=2020-03-sephora-clean-2019,https://www.sephora.com/productimages/sku/s2404721-main-Lhero.jpg?pb=2020-03-sephora-clean-2019,P432668,4.3848,2183,/product/d-bronzi-tm-anti-pollution-sunshine-serum-P432668,,Clean at Sephora
The Ordinary,"{'badgeAltText': 'allure 2019 Best of Beauty Award Winner ', 'biExclusiveLevel': 'none', 'imageAltText': 'The Ordinary - Hyaluronic Acid 2% + B5 Hydrating Serum', 'isAppExclusive': False, 'isBI': False, 'isBest': False, 'isFirstAccess': False, 'isLimitedEdition': False, 'isLimitedTimeOffer': False, 'isNatural': False, 'isNew': False, 'isOnlineOnly': False, 'isOrganic': False, 'isSephoraExclusive': False, 'listPrice': '$8.90 - $15.70', 'salePrice': '', 'skuId': '2031375', 'skuImages': {'image135': 'https://www.sephora.com/productimages/sku/s2031375-main-grid.jpg?pb=2020-03-allure-best-2019', 'image162': 'https://www.sephora.com/productimages/sku/s2031375-162.jpg?pb=2020-03-allure-best-2019', 'image250': 'https://www.sephora.com/productimages/sku/s2031375-main-hero.jpg?pb=2020-03-allure-best-2019', 'image42': 'https://www.sephora.com/productimages/sku/s2031375-main-thumb.jpg?pb=2020-03-allure-best-2019', 'image450': 'https://www.sephora.com/productimages/sku/s2031375-main-Lhero.jpg?pb=2020-03-allure-best-2019', 'image62': 'https://www.sephora.com/productimages/sku/s2031375-main-Lthumb.jpg?pb=2020-03-allure-best-2019', 'image97': 'https://www.sephora.com/productimages/sku/s2031375-main-Sgrid.jpg?pb=2020-03-allure-best-2019'}, 'skuType': 'Standard'}",Hyaluronic Acid 2% + B5 Hydrating Serum,https://www.sephora.com/productimages/sku/s2031375-main-grid.jpg?pb=2020-03-allure-best-2019,https://www.sephora.com/productimages/sku/s2031375-main-grid.jpg?pb=2020-03-allure-best-2019,https://www.sephora.com/productimages/sku/s2031375-main-hero.jpg?pb=2020-03-allure-best-2019,https://www.sephora.com/productimages/sku/s2031375-main-Lhero.jpg?pb=2020-03-allure-best-2019,P427419,4.2134,3997,/product/the-ordinary-deciem-hyaluronic-acid-2-b5-P427419,,
Tatcha,"{'badgeAltText': 'Clean at Sephora', 'biExclusiveLevel': 'none', 'imageAltText': 'Tatcha - The Dewy Skin Cream Plumping & Hydrating Moisturizer', 'isAppExclusive': False, 'isBI': False, 'isBest': False, 'isFirstAccess': False, 'isLimitedEdition': False, 'isLimitedTimeOffer': False, 'isNatural': False, 'isNew': False, 'isOnlineOnly': False, 'isOrganic': False, 'isSephoraExclusive': True, 'listPrice': '$22.00 - $85.00', 'salePrice': '', 'skuId': '2181006', 'skuImages': {'image135': 'https://www.sephora.com/productimages/sku/s2181006-main-grid.jpg?pb=2020-03-sephora-clean-2019', 'image162': 'https://www.sephora.com/productimages/sku/s2181006-162.jpg?pb=2020-03-sephora-clean-2019', 'image250': 'https://www.sephora.com/productimages/sku/s2181006-main-hero.jpg?pb=2020-03-sephora-clean-2019', 'image42': 'https://www.sephora.com/productimages/sku/s2181006-main-thumb.jpg?pb=2020-03-sephora-clean-2019', 'image450': 'https://www.sephora.com/productimages/sku/s2181006-main-Lhero.jpg?pb=2020-03-sephora-clean-2019', 'image62': 'https://www.sephora.com/productimages/sku/s2181006-main-Lthumb.jpg?pb=2020-03-sephora-clean-2019', 'image97': 'https://www.sephora.com/productimages/sku/s2181006-main-Sgrid.jpg?pb=2020-03-sephora-clean-2019'}, 'skuType': 'Standard'}",The Dewy Skin Cream Plumping & Hydrating Moisturizer,https://www.sephora.com/productimages/sku/s2181006-main-grid.jpg?pb=2020-03-sephora-clean-2019,https://www.sephora.com/productimages/sku/s2181006-main-grid.jpg?pb=2020-03-sephora-clean-2019,https://www.sephora.com/productimages/sku/s2181006-main-hero.jpg?pb=2020-03-sephora-clean-2019,https://www.sephora.com/productimages/sku/s2181006-main-Lhero.jpg?pb=2020-03-sephora-clean-2019,P441101,4.1,3260,/product/the-dewy-skin-cream-P441101,,Clean at Sephora
Sol de Janeiro,"{'biExclusiveLevel': 'none', 'imageAltText': 'Sol de Janeiro - Brazilian Crush Cheirosa ’62 Bum Bum Hair & Body Fragrance Mist', 'isAppExclusive': False, 'isBI': False, 'isBest': False, 'isFirstAccess': False, 'isLimitedEdition': False, 'isLimitedTimeOffer': False, 'isNatural': False, 'isNew': False, 'isOnlineOnly': False, 'isOrganic': False, 'isSephoraExclusive': True, 'listPrice': '$24.00 - $38.00', 'salePrice': '', 'skuId': '1930759', 'skuImages': {'image135': 'https://www.sephora.com/productimages/sku/s1930759-main-grid.jpg', 'image162': 'https://www.sephora.com/productimages/sku/s1930759-162.jpg', 'image250': 'https://www.sephora.com/productimages/sku/s1930759-main-hero.jpg', 'image42': 'https://www.sephora.com/productimages/sku/s1930759-main-thumb.jpg', 'image450': 'https://www.sephora.com/productimages/sku/s1930759-main-Lhero.jpg', 'image62': 'https://www.sephora.com/productimages/sku/s1930759-main-Lthumb.jpg', 'image97': 'https://www.sephora.com/productimages/sku/s1930759-main-Sgrid.jpg'}, 'skuType': 'Standard'}",Brazilian Crush Cheirosa ’62 Bum Bum Hair & Body Fragrance Mist,https://www.sephora.com/productimages/sku/s1930759-main-grid.jpg,https://www.sephora.com/productimages/sku/s1930759-main-grid.jpg,https://www.sephora.com/productimages/sku/s1930759-main-hero.jpg,https://www.sephora.com/productimages/sku/s1930759-main-Lhero.jpg,P417312,4.3144,1921,/product/brazilian-crush-body-fragrance-mist-P417312,,
Sol de Janeiro,"{'biExclusiveLevel': 'none', 'imageAltText': 'Sol de Janeiro - Brazilian Bum Bum Body Cream', 'isAppExclusive': False, 'isBI': False, 'isBest': False, 'isFirstAccess': False, 'isLimitedEdition': False, 'isLimitedTimeOffer': False, 'isNatural': False, 'isNew': False, 'isOnlineOnly': False, 'isOrganic': False, 'isSephoraExclusive': True, 'listPrice': '$22.00 - $48.00', 'salePrice': '', 'skuId': '1802412', 'skuImages': {'image135': 'https://www.sephora.com/productimages/sku/s1802412-main-grid.jpg', 'image162': 'https://www.sephora.com/productimages/sku/s1802412-162.jpg', 'image250': 'https://www.sephora.com/productimages/sku/s1802412-main-hero.jpg', 'image42': 'https://www.sephora.com/productimages/sku/s1802412-main-thumb.jpg', 'image450': 'https://www.sephora.com/productimages/sku/s1802412-main-Lhero.jpg', 'image62': 'https://www.sephora.com/productimages/sku/s1802412-main-Lthumb.jpg', 'image97': 'https://www.sephora.com/productimages/sku/s1802412-main-Sgrid.jpg'}, 'skuType': 'Standard'}",Brazilian Bum Bum Body Cream,https://www.sephora.com/productimages/sku/s1802412-main-grid.jpg,https://www.sephora.com/productimages/sku/s1802412-main-grid.jpg,https://www.sephora.com/productimages/sku/s1802412-main-hero.jpg,https://www.sephora.com/productimages/sku/s1802412-main-Lhero.jpg,P406080,4.2953,8794,/product/brazilian-bum-bum-cream-P406080,,
Paula's Choice,"{'biExclusiveLevel': 'none', 'imageAltText': ""Paula's Choice - Skin Perfecting 2% BHA Liquid Exfoliant"", 'isAppExclusive': False, 'isBI': False, 'isBest': False, 'isFirstAccess': False, 'isLimitedEdition': False, 'isLimitedTimeOffer': False, 'isNatural': False, 'isNew': False, 'isOnlineOnly': False, 'isOrganic': False, 'isSephoraExclusive': False, 'listPrice': '$13.00 - $34.00', 'salePrice': '', 'skuId': '2421360', 'skuImages': {'image135': 'https://www.sephora.com/productimages/sku/s2421360-main-grid.jpg', 'image162': 'https://www.sephora.com/productimages/sku/s2421360-162.jpg', 'image250': 'https://www.sephora.com/productimages/sku/s2421360-main-hero.jpg', 'image42': 'https://www.sephora.com/productimages/sku/s2421360-main-thumb.jpg', 'image450': 'https://www.sephora.com/productimages/sku/s2421360-main-Lhero.jpg', 'image62': 'https://www.sephora.com/productimages/sku/s2421360-main-Lthumb.jpg', 'image97': 'https://www.sephora.com/productimages/sku/s2421360-main-Sgrid.jpg'}, 'skuType': 'Standard'}",Skin Perfecting 2% BHA Liquid Exfoliant,https://www.sephora.com/productimages/sku/s2421360-main-grid.jpg,https://www.sephora.com/productimages/sku/s2421360-main-grid.jpg,https://www.sephora.com/productimages/sku/s2421360-main-hero.jpg,https://www.sephora.com/productimages/sku/s2421360-main-Lhero.jpg,P469502,4.4124,1319,/product/paula-s-choice-skin-perfecting-2-bha-liquid-exfoliant-P469502,,
ILIA,"{'badgeAltText': 'allure 2020 Best of Beauty Award Winner ', 'biExclusiveLevel': 'none', 'imageAltText': 'ILIA - Super Serum Skin Tint SPF 40 Foundation', 'isAppExclusive': False, 'isBI': False, 'isBest': False, 'isFirstAccess': False, 'isLimitedEdition': False, 'isLimitedTimeOffer': False, 'isNatural': False, 'isNew': False, 'isOnlineOnly': False, 'isOrganic': False, 'isSephoraExclusive': False, 'listPrice': '$48.00', 'salePrice': '', 'skuId': '2333607', 'skuImages': {'image135': 'https://www.sephora.com/productimages/sku/s2333607-main-grid.jpg?pb=allure-best-2020', 'image162': 'https://www.sephora.com/productimages/sku/s2333607-162.jpg?pb=allure-best-2020', 'image250': 'https://www.sephora.com/productimages/sku/s2333607-main-hero.jpg?pb=allure-best-2020', 'image42': 'https://www.sephora.com/productimages/sku/s2333607-main-thumb.jpg?pb=allure-best-2020', 'image450': 'https://www.sephora.com/productimages/sku/s2333607-main-Lhero.jpg?pb=allure-best-2020', 'image62': 'https://www.sephora.com/productimages/sku/s2333607-main-Lthumb.jpg?pb=allure-best-2020', 'image97': 'https://www.sephora.com/productimages/sku/s2333607-main-Sgrid.jpg?pb=allure-best-2020'}, 'skuType': 'Standard'}",Super Serum Skin Tint SPF 40 Foundation,https://www.sephora.com/productimages/sku/s2333607-main-grid.jpg?pb=allure-best-2020,https://www.sephora.com/productimages/sku/s2333607-main-grid.jpg?pb=allure-best-2020,https://www.sephora.com/productimages/sku/s2333607-main-hero.jpg?pb=allure-best-2020,https://www.sephora.com/productimages/sku/s2333607-main-Lhero.jpg?pb=allure-best-2020,P455418,3.7105,4225,/product/ilia-super-serum-skin-tint-spf-40-P455418,29.0,
Supergoop!,"{'badgeAltText': 'Clean at Sephora', 'biExclusiveLevel': 'none', 'imageAltText': 'Supergoop! - Glowscreen SPF 40 Sunscreen with Hyaluronic Acid + Niacinamide', 'isAppExclusive': False, 'isBI': False, 'isBest': False, 'isFirstAccess': False, 'isLimitedEdition': False, 'isLimitedTimeOffer': False, 'isNatural': False, 'isNew': False, 'isOnlineOnly': False, 'isOrganic': False, 'isSephoraExclusive': True, 'listPrice': '$22.00 - $48.00', 'salePrice': '', 'skuId': '2535656', 'skuImages': {'image135': 'https://www.sephora.com/productimages/sku/s2535656-main-grid.jpg?pb=2020-03-sephora-clean-2019', 'image162': 'https://www.sephora.com/productimages/sku/s2535656-162.jpg?pb=2020-03-sephora-clean-2019', 'image250': 'https://www.sephora.com/productimages/sku/s2535656-main-hero.jpg?pb=2020-03-sephora-clean-2019', 'image42': 'https://www.sephora.com/productimages/sku/s2535656-main-thumb.jpg?pb=2020-03-sephora-clean-2019', 'image450': 'https://www.sephora.com/productimages/sku/s2535656-main-Lhero.jpg?pb=2020-03-sephora-clean-2019', 'image62': 'https://www.sephora.com/productimages/sku/s2535656-main-Lthumb.jpg?pb=2020-03-sephora-clean-2019', 'image97': 'https://www.sephora.com/productimages/sku/s2535656-main-Sgrid.jpg?pb=2020-03-sephora-clean-2019'}, 'skuType': 'Standard'}",Glowscreen SPF 40 Sunscreen with Hyaluronic Acid + Niacinamide,https://www.sephora.com/productimages/sku/s2535656-main-grid.jpg?pb=2020-03-sephora-clean-2019,https://www.sephora.com/productimages/sku/s2535656-main-grid.jpg?pb=2020-03-sephora-clean-2019,https://www.sephora.com/productimages/sku/s2535656-main-hero.jpg?pb=2020-03-sephora-clean-2019,https://www.sephora.com/productimages/sku/s2535656-main-Lhero.jpg?pb=2020-03-sephora-clean-2019,P456218,4.1226,2194,/product/supergoop-glowscreen-sunscreen-spf-40-P456218,,
